Date,Open,High,Low,BTC_Close,Volume,SP500_Close,BTC_Pred,SP500_Pred
2012-01-03,5.0,5.32,5.0,5.29,107.08528092,1277.06005859375,,
2012-01-04,5.29,5.57,4.93,5.57,107.23326023000001,1277.300048828125,,
2012-01-05,5.57,6.46,5.57,6.42,70.32874237,1281.06005859375,,
2012-01-06,6.42,6.9,6.4,6.4,55.8558336,1277.81005859375,,
2012-01-09,6.9,7.0,6.36,6.48,64.8693229,1280.699951171875,,
2012-01-10,6.48,7.1,6.23,7.1,60.69194096,1292.0799560546875,,
2012-01-11,7.1,7.33,6.25,7.0,93.32697324,1292.47998046875,,
2012-01-12,7.0,7.38,6.51,6.51,98.93163181,1295.5,,
2012-01-13,6.51,7.36,6.51,6.9,33.62682051,1289.0899658203125,,
2012-01-17,7.1,7.1,6.5,6.9,11.246376810000001,1293.6700439453125,,
2012-01-18,6.9,7.1,5.99,7.1,202.71440055,1308.0400390625,,
2012-01-19,7.1,7.1,5.52,6.01,158.46598447,1314.5,,
2012-01-20,6.01,6.95,6.01,6.95,184.07583311,1315.3800048828125,,
2012-01-23,6.83,6.83,6.0,6.52,95.57062909,1316.0,,
2012-01-24,6.52,6.57,6.0,6.55,85.44624147,1314.6500244140625,,
2012-01-25,6.55,6.86,6.0,6.0,80.7232564,1326.06005859375,,
2012-01-26,6.0,6.31,6.0,6.27,16.75896173,1318.4300537109375,,
2012-01-27,6.27,6.3,3.8,5.88,105.64010172,1316.3299560546875,,
2012-01-30,5.9,5.9,5.3,5.58,22.38,1313.010009765625,,
2012-01-31,5.58,6.22,5.55,5.55,104.71833334,1312.4100341796875,,
2012-02-01,5.55,6.0,3.8,5.99,13.55244574,1324.0899658203125,,
2012-02-02,5.99,6.26,5.54,6.26,123.58263763000001,1325.5400390625,,
2012-02-03,6.26,6.35,5.93,6.29,283.38210612,1344.9000244140625,,
2012-02-06,5.7,6.15,5.2,5.9,26.36207817,1344.3299560546875,,
2012-02-07,5.9,5.9,5.5,5.51,151.42474559000001,1347.050048828125,,
2012-02-08,5.51,5.79,5.51,5.66,57.96134674,1349.9599609375,,
2012-02-09,5.66,5.87,5.51,5.87,102.19951034,1351.949951171875,,
2012-02-10,5.87,5.89,5.8,5.88,202.9255289,1342.6400146484375,,
2012-02-13,5.55,5.79,5.5,5.79,130.02787142,1351.77001953125,,
2012-02-14,5.79,5.8,4.56,4.56,123.83811213,1350.5,,
2012-02-15,4.56,5.08,4.56,4.69,72.2959875,1343.22998046875,,
2012-02-16,4.69,4.98,4.15,4.98,94.61323754,1358.0400390625,,
2012-02-17,4.98,4.98,4.5,4.69,262.18826113,1361.22998046875,,
